Project Name,Category,n8n Workflow Name,What It Does,How It Works (Key Steps),Trigger,Apps / Connections,What You Need To Do,Status,Remarks & Notes
Drive → Shopify Image Sync,Image Management,Drive → Shopify Image Sync,"Automatically uploads product images from Google Drive to Shopify CDN and writes the CDN URLs back to Google Sheets. Eliminates all manual image uploads.","1. Scans all 19 product category sheets to find rows where IMAGE URL1 is empty. 2. For each product navigates Google Drive: Root → Category → ProductNo → LOGO subfolder. 3. Classifies images by filename: -P or _P = primary image (IMAGE URL1) | -S or _S = secondary image (IMAGE URL2) | all others = IMAGE URL3 onward. 4. Uploads each image to Shopify CDN. 5. Waits 15 seconds for Shopify to process. 6. Writes CDN URLs to IMAGE URL1–URL10 columns and shows thumbnail in Picture column.",Daily 9 AM automatic,Google Drive | Google Sheets | Shopify,"1. Go to the product folder in Google Drive (Root → Category → ProductNo → LOGO). 2. Rename the main image to end with -P (example: LSQM425-P.jpg). 3. Rename the secondary image to end with -S (example: LSQM425-S.jpg). 4. Leave IMAGE URL1 empty in the sheet — the workflow fills it automatically next morning. 5. To run immediately instead of waiting until 9 AM ask Bilal to trigger it manually.",Active,"If a product has no file ending in -P it will be skipped and retried next day. Naming is case-insensitive (-P -p _P _p all work). Picture column will show the actual image thumbnail automatically after sync."
AI Product Title & Description Generator,Product Management,AI Product Title & Description Generator,"Reads product rows from Google Sheets and uses AI to automatically generate Shopify-ready content: titles, descriptions, SEO fields, tags, and Etsy content. Writes everything back to the sheet.","1. Reads product rows marked for content generation. 2. Sends product attributes (material, dimensions, category, keywords) to AI. 3. AI generates: Shopify title, HTML description, SEO meta title, SEO meta description, tags, product type, Etsy title, Etsy description. 4. Writes all generated content back to the corresponding columns in the sheet.",Manual — run on demand,Google Sheets | OpenAI,"1. Fill in the product details in the sheet: material, dimensions, keywords, category. 2. Set the Generate_Title_Description column to YES for rows you want content for. 3. Ask Bilal to trigger the workflow. 4. Review the generated content in Title_Shopify and Description_Shopify columns before publishing to Shopify.",Active,"Always review AI-generated content before pushing to Shopify. The more detail you fill in the sheet (keywords, material, dimensions) the better the output quality."
Shopify Product Sync Pipeline,Product Management,Shopify Merge product sync Pipeline,"Syncs product data from Google Sheets directly into Shopify. Handles product creation, field updates, collection assignments across all 19 category sheets.","1. Reads rows marked as ready to sync. 2. Checks if product already exists in Shopify. 3. If new: creates the product with all fields. 4. If existing: updates changed fields only. 5. Assigns product to correct Shopify collections using Collection IDs from the sheet. 6. Fills in Shopify_Product_URL and last_update_time after sync.",Manual — run on demand,Google Sheets | Shopify,"1. Fill in all product columns in the sheet (title, description, dimensions, price etc.). 2. Make sure Collection_ID1/2/3 columns are filled with correct Shopify collection IDs. 3. Set Ready_to_post column to YES for rows to sync. 4. Ask Bilal to trigger the workflow. 5. After sync the Shopify_Product_URL column will have the live product link.",Active,"Fields_to_update column controls which fields get updated on existing products. Leave blank to update all fields or specify only the fields you want changed."
Wall Coverings Classifier,Product Management,wall_coverings_classifier_workflow,"Classifies wall covering products based on material and style attributes and assigns them to the correct Shopify collections automatically.","1. Reads new rows from the Wall-Coverings sheet. 2. Analyses product attributes: material type, finish, pattern, dimensions. 3. Determines correct Shopify collection using classification rules. 4. Fills in the Collection ID columns in the sheet. 5. Products are then ready for the Shopify Sync Pipeline.",Manual — run after adding new wall covering products,Google Sheets | Shopify,"1. Add new wall covering products to the Wall-Coverings tab with all attributes filled. 2. Ask Bilal to run the classifier. 3. Collection_ID columns will be filled automatically. 4. Then run the Shopify Sync Pipeline to push products live.",Active,"Only works on the Wall-Coverings sheet tab. If classification rules need to change (new collections or materials) let Bilal know to update the workflow."
Email Receiving Automation,Email Pipeline,Email Receiving Automation,"Monitors the inbox for incoming emails, identifies the sender type (customer, lead, or manager), and routes each email to the correct automated response.","1. Monitors Gmail inbox continuously. 2. Parses each new email: sender, subject, body. 3. Classifies the email type using defined rules. 4. Routes to correct handler: interested lead → sends follow-up | manager message → sends escalation | other → logs it.",Automatic — runs 24/7 in background,Gmail | Google Sheets,"This runs automatically at all times. You do not need to do anything. If you notice emails are not being handled correctly let Bilal know.",Active,"Must always be Active in n8n. This is the entry point that feeds all other email workflows."
Email Sending Automation,Email Pipeline,Email Sending Automation,"Handles all outbound email sending. Formats emails with dynamic content and sends them via Gmail.","1. Receives a send request from another workflow. 2. Loads the correct email template. 3. Fills in dynamic fields: recipient name, product info, custom message. 4. Sends the email via Gmail. 5. Logs sent email.",Automatic — triggered by other email workflows,Gmail,"This runs automatically. You do not need to trigger it manually. To update email wording or templates let Bilal know.",Active,"All outbound emails go through this single workflow. To change email content only this one workflow needs to be updated."
Email To Interested Leads,Email Pipeline,Email To Interested,"Sends automated follow-up emails to leads who have shown interest in products.","1. Triggered when a lead is classified as Interested. 2. Checks if this lead already received a follow-up to avoid duplicates. 3. Selects the correct follow-up template. 4. Sends via Email Sending Automation. 5. Records follow-up date in tracking sheet.",Automatic — triggered by Email Receiving Automation,Gmail | Google Sheets,"This runs automatically when an interested lead emails in. You do not need to do anything. To change follow-up content or timing let Bilal know.",Active,"Has a built-in duplicate check so the same lead never receives the same follow-up twice."
Email To Manager,Email Pipeline,Email To Manager,"Sends escalation notifications to the manager when important emails arrive that need human attention — such as complaints, large orders, or urgent requests.","1. Triggered when Email Receiving Automation flags a message for manager attention. 2. Formats a summary with the original email content. 3. Sends notification email to manager. 4. Logs the escalation.",Automatic — triggered by Email Receiving Automation,Gmail,"This runs automatically. You will receive an email whenever something needs your attention. If the wrong types of emails are being escalated let Bilal know to adjust the rules.",Active,"Manager email address is configured inside the workflow. Let Bilal know if the manager email address changes."
Global Error Handler,System — All Workflows,Global Error Handler,"Catches errors from any workflow across the entire system and sends an alert email so nothing fails silently.","1. Fires automatically whenever any workflow fails. 2. Extracts: workflow name, failed node, error message, timestamp. 3. Sends a formatted alert email to admin. 4. Logs error for tracking.",Automatic — fires on any workflow failure,Gmail,"You will receive an email alert automatically if anything breaks. Forward those alerts to Bilal with the details so the issue can be fixed.",Active,"CRITICAL: Must always be Active in n8n Settings → Error Workflow. Once set there it automatically covers ALL workflows — image sync, product sync, email, Pinterest and everything built in future. Do not ignore alert emails — they mean something in the system has stopped working."
Pinterest Product Classifier,Pinterest Pipeline,product_classifier_workflow,"Analyses product data and determines which Pinterest board each product should be published to.","1. Reads product data from Google Sheets or Shopify. 2. Analyses category, material, style, and keywords. 3. Matches each product to the most relevant Pinterest board. 4. Records the board assignment. 5. Passes data to Pinterest Prepare workflow.",Manual — run before publishing to Pinterest,Google Sheets | Shopify | Pinterest,"1. Make sure IMAGE URL1 is filled for products you want to publish (run Image Sync first if needed). 2. Ask Bilal to run the classifier. 3. It will automatically determine which Pinterest board each product goes to.",Active,"Board assignments are based on product category and material. If you add new Pinterest boards let Bilal know so the rules can be updated."
Pinterest Pin Prepare,Pinterest Pipeline,pinterest_prepare_workflow,"Prepares all the content for a Pinterest pin: image, title, description, destination link, and board assignment.","1. Receives classified product data. 2. Selects the primary product image (IMAGE URL1). 3. Formats pin title (max 100 chars) and description (max 500 chars) with keywords. 4. Sets destination URL to Shopify product page. 5. Packages all pin data and passes to Verify workflow.",Automatic — triggered after Product Classifier,Google Sheets | Shopify | Pinterest,"This runs automatically after the Product Classifier. Make sure IMAGE URL1 is filled in the sheet before starting the Pinterest pipeline.",Active,"The more complete the sheet data (keywords, material, dimensions) the better the pin title and description quality."
Pinterest Pin Verify,Pinterest Pipeline,pinterest_verify_workflow,"Validates all prepared pin content before publishing — checks images are accessible and text is within Pinterest character limits.","1. Checks image URL is working and accessible. 2. Validates title is within 100 character limit. 3. Validates description is within 500 character limit. 4. Confirms Pinterest board ID is valid. 5. Passes valid pins forward and logs failed ones.",Automatic — triggered after Pin Prepare,Pinterest API,"This runs automatically. If some products are skipped and not published Bilal can check the validation log to find out why.",Active,"Most common reason for failure: image URL not yet live on Shopify CDN. Run Image Sync first then the Pinterest pipeline."
Pinterest Pin Publish,Pinterest Pipeline,pinterest_publish_workflow,"Publishes approved pins to the correct Pinterest boards via the Pinterest API.","1. Receives verified pin data. 2. Calls Pinterest API to create the pin with image, title, description, link, and board. 3. Records Pinterest Pin ID and pin URL in Google Sheets. 4. Logs publish timestamp.",Automatic — triggered after Pin Verify,Pinterest API | Google Sheets,"This is the final step and runs automatically. After it completes check your Pinterest account to see the published pins. Pin URLs are saved in the Google Sheet.",Active,"Pinterest allows a maximum of 25 pins per day. Do not run the pipeline for more than 25 products at a time to avoid being rate-limited."
Shopify Blog to Pinterest,Pinterest Pipeline,shopify_blog_n8n_workflow,"Automatically publishes Shopify blog posts to Pinterest as pins — extending content reach without manual work.","1. Reads published blog posts from Shopify not yet pinned. 2. Extracts featured image, title, excerpt, and blog URL. 3. Formats as a Pinterest pin. 4. Publishes to the blog Pinterest board. 5. Records published posts to prevent duplicates.",Manual — run after publishing new blog posts,Shopify | Pinterest API | Google Sheets,"1. Publish your blog post on Shopify as normal (must have a featured image set). 2. Ask Bilal to trigger this workflow. 3. The blog post will appear as a pin on your Pinterest board.",Active,"Only works for blog posts that have a featured image set in Shopify. The same post will never be pinned twice — duplicate check is built in."
Tailwind Boards Helper,Pinterest Pipeline,tailwind_list_boards_helper,"Utility that fetches a list of all your Pinterest boards and their IDs — used by Bilal when setting up or updating Pinterest workflows.","1. Calls the Pinterest API. 2. Returns list of all boards with names and IDs. 3. Output is used to configure board IDs in other Pinterest workflows.",Manual — admin use only,Pinterest API,"You do not need to run this. Bilal uses it when setting up or updating Pinterest workflows.",Utility,"Run by Bilal whenever Pinterest boards are added or renamed so other workflows can be updated with correct board IDs."
